ITEM	REF	DESC	MEAN	ALT	FS	D1	D2	D3	D4	D5	D6	D7
20150	323	2600085865010	30000	30000	F	107000	88000	59000				
20151	323	2600085965010	75000	75000	F	3100	3000	3000				
20152	323	2600085965010	60000	60000	F	8000	8000	6000				
20153	323	2600085965010	40000	40000	F	25000	18000	19000				
20154	323	2600085965010	25000	25000	F	7742000	262000					
20155	323	2600085965010	60000	60000	F	8100	8000					
20156	323	2600085965010	50000	50000	F	11000	17000	12000				
20157	323	2600085965010	36000	36000	F	34000	50000					
20158	323	2600085965010	30000	30000	F	233000	113000					
20159	323	2600085965010	25000	25000	F	469000	179000					
20160	323	2600085865010	94500	40500	F	5000	3000					
20161	323	2600085865010	77000	33000	F	8000	6000					
20162	323	2600085865010	59500	25500	F	3000	15000					
20163	323	2600085865010	42000	18000	F	175000	80000	62000				
20164	323	2600085865010	31500	13500	F	195000	114000					
20165	319	0405090060010	40000	60000	F	25000	36000					
20166	319	0405090060010	40000	30000	F	125000	135000					
20167	319	0405090060016	40000	30000	F	5000000	10785000					
					S	5000000						
20168	319	0405090060016	40000	60000	F	4000	7000					
20169	319	0405090060016	40000	40000	F	14000	11000					
20170	319	0405090060016	40000	60000	F	5500	5000					
20171	319	0405090019010	27000	53000	F	121000	40000	96000				
					S	121000						
20172	319	0405090019016	27000	54000	F	3000	3000	4000				
20173	319	0405090019016	27000	40500	F	64000	179000					
20174	319	0405090019016	27000	47200	F	10000	27000					
20175	319	0405090019016	27000	40500	F	231000	242000					
20176	319	0405090019016	27000	54000	F	5100	5000					
20177	319	0405090019016	27000	47200	F	17100	17000					
20178	319	0405090019010	40000	60000	F	65000	153000					
					S	65000	153000					
20179	319	0405090019016	40000	80000	F	5000	8000					
20180	319	0405090019016	40000	60000	F	23000	32000	46000				
20181	319	0405090019016	40000	40000	F	3210000	1587000					
20182	319	0405090019016	40000	80000	F	3000	7000	6000				
20183	319	0405090019016	40000	60000	F	49000	34000					
20184	319	0405090062010	40000	60000	F	20000	84000	26000				
20185	319	0405090062010	40000	40000	F	60000	139000	121000				
20186	319	0405090062010	40000	30000	F	211000	184000					
20187	319	0405090062016	40000	60000	F	7000	9000	6000				
20188	319	0405090062016	40000	40000	F	25000	16000					
20189	319	0405090062016	40000	30000	F	63000	96000					
20190	319	0405090062016	40000	30000	F	30000	29000					
20191	319	0405090029010	40000	40000	F	30000	20000					
20192	319	0405090029010	40000	30000	F	27000	33000					
20193	319	0405090029010	40000	20000	F	43000	32000					
20194	319	0405090029010	40000	10000	F	291000	430000					
20195	319	0405090029016	40000	40000	F	11000	10000					
20196	319	0405090029016	40000	20000	F	25000	22000					
20197	319	0405090029016	40000	60000	F	3100	3000					
20198	319	0405090023010	40000	40000	F	14000	21000					
20199	319	0405090023010	40000	50000	F	1000	400					
20200	319	0405090023010	40000	30000	F	42000	221000					
20201	319	0405090023016	40000	40000	F	15000	7000					
20202	319	0405090023016	40000	30000	F	16000	63000					
20203	319	0405090023016	40000	40000	F	5100	5000					
20204	319	0405090023016	40000	20000	F	89000	22000					
20205	319	0405090023016	40000	30000	F	14000	18000					
20206	327	0402524819010	75000	75000	F	987	898	968	643	814		
20207	327	0402524819010	85000	85000	F	581	498	599	516	528		
20208	327	0402524819010	95000	95000	F	423	393	402	406	474		
20209	327	0402524819010	85000	85000	F	560	651	649	604	487		
20210	327	0402524929010	66000	66000	F	460	365	398	393	411		
20211	327	0402524929010	75000	75000	F	212	273	323	601	422		
20212	327	0402524929010	85000	85000	F	443	296	439	254	302		
20213	327	0402524819018	94500	94500	F	1155	1154	997	855	982		
20214	327	0402524819018	107000	107000	F	530	418	376	357	350		
20215	327	0402524819018	119500	119500	F	84	68	58	129	32		
20216	327	0402524819018	107000	107000	F	281	156	103	54	140		
20217	327	0402524929018	94500	94500	F	246	388	298	307	80		
20218	327	0402524929018	107000	107000	F	41	2	21	5	3		
20219	327	0402524929018	82500	82500	F	917	669	766	984	555		
20220	327	0402524819018	78500	78500	F	50	40	140	105	28		
20221	327	0402524819018	89000	89000	F	39	38	117	21	51		
20222	327	0402524819018	99500	99500	F	6	5	3	4	3		
